#theta/rad	Energie[mu_0/(4*pi) M^2/a^3] Ferro	Energie[mu_0/(4*pi) M^2/a^3] Antiferro
2.77841	4.2532034		-0.98150847
2.81841	4.3144402		-0.99564004
2.85841	4.3687748		-1.0081788
2.89841	4.4161203		-1.0191047
2.93841	4.456401		-1.0284002
2.97841	4.4895523		-1.0360505
3.01841	4.5155214		-1.0420434
3.05841	4.5342665		-1.0463692
3.09841	4.5457579		-1.049021
3.13841	4.5499769		-1.0499947
0499947
