0.618407	4.0585664	0.62645253		4.0586341		0.62646297
0.658407	4.2834264	0.66116037		4.2834978		0.66117139
0.698407	4.5014338	0.6948105		4.5015088		0.69482208
0.738407	4.7122398	0.72734908		4.7123184		0.72736121
0.778407	4.9155073	0.75872406		4.9155892		0.75873671
0.818407	5.110911	0.78888524		5.1109962		0.78889839
0.858407	5.2981384	0.81778437		5.2982267		0.817798
0.898407	5.4768898	0.84537522		5.4769811		0.84538931
0.938407	5.6468794	0.87161365		5.6469736		0.87162818
0.978407	5.8078352	0.89645769		5.807932		0.89647263
1.01841	5.9594997	0.91986758		5.9595991		0.91988292
1.05841	6.1016303	0.94180589		6.101732		0.94182158
1.09841	6.2339996	0.9622375		6.2341035		0.96225354
1.13841	6.3563958	0.98112974		6.3565017		0.98114609
1.17841	6.4686231	0.99845238		6.4687309		0.99846902
1.21841	6.570502	1.0141777		6.5706115		1.0141946
1.25841	6.6618695	1.0282806		6.6619805		1.0282977
1.29841	6.7425794	1.0407384		6.7426918		1.0407558
1.33841	6.8125027	1.0515313		6.8126162		1.0515488
1.37841	6.8715274	1.0606419		6.8716419		1.0606596
1.41841	6.9195591	1.0680558		6.9196744		1.0680736
1.45841	6.956521	1.073761		6.9566369		1.0737789
1.49841	6.9823539	1.0777484		6.9824703		1.0777663
1.53841	6.9970166	1.0800116		6.9971332		1.0800296
1.57841	7.0004855	1.080547		7.0006022		1.080565
1.61841	6.9927552	1.0793538		6.9928717		1.0793718
1.65841	6.9738379	1.0764339		6.9739542		1.0764518
1.69841	6.943764	1.0717919		6.9438797		1.0718097
1.73841	6.9025815	1.0654352		6.9026966		1.065453
1.77841	6.8503564	1.0573741		6.8504706		1.0573917
1.81841	6.7871722	1.0476214		6.7872853		1.0476389
1.85841	6.71313	1.0361928		6.7132418		1.0362101
1.89841	6.6283481	1.0231064		6.6284586		1.0231235
1.93841	6.5329624	1.0083833		6.5330712		1.0084002
1.97841	6.4271252	0.99204705		6.4272324		0.99206359
